,time,signal
0,0.0,513.0
1,0.001,513.0
2,0.002,514.0
3,0.003,514.0
4,0.004,513.0
5,0.005,514.0
6,0.006,513.0
7,0.007,512.0
8,0.008,513.0
9,0.009,513.0
10,0.01,513.0
11,0.011,514.0
12,0.012,512.0
13,0.013,511.0
14,0.014,512.0
15,0.015,511.0
16,0.016,515.0
17,0.017,512.0
18,0.018,515.0
19,0.019,513.0
20,0.02,514.0
21,0.021,514.0
22,0.022,516.0
23,0.023,516.0
24,0.024,515.0
25,0.025,514.0
26,0.026,515.0
27,0.027,516.0
28,0.028,515.0
29,0.029,515.0
30,0.03,512.0
31,0.031,511.0
32,0.032,513.0
33,0.033,513.0
34,0.034,513.0
35,0.035,513.0
36,0.036,513.0
37,0.037,511.0
38,0.038,515.0
39,0.039,514.0
40,0.04,514.0
41,0.041,514.0
42,0.042,514.0
43,0.043,514.0
44,0.044,514.0
45,0.045,513.0
46,0.046,513.0
47,0.047,513.0
48,0.048,513.0
49,0.049,515.0
50,0.05,512.0
51,0.051,513.0
52,0.052,514.0
53,0.053,515.0
54,0.054,514.0
55,0.055,513.0
56,0.056,515.0
57,0.057,514.0
58,0.058,513.0
59,0.059,513.0
60,0.06,513.0
61,0.061,512.0
62,0.062,511.0
63,0.063,511.0
64,0.064,511.0
65,0.065,511.0
66,0.066,512.0
67,0.067,512.0
68,0.068,512.0
69,0.069,511.0
70,0.07,513.0
71,0.071,513.0
72,0.072,512.0
73,0.073,515.0
74,0.074,515.0
75,0.075,516.0
76,0.076,516.0
77,0.077,514.0
78,0.078,513.0
79,0.079,513.0
80,0.08,516.0
81,0.081,512.0
82,0.082,512.0
83,0.083,513.0
84,0.084,511.0
85,0.085,514.0
86,0.086,511.0
87,0.087,513.0
88,0.088,512.0
89,0.089,515.0
90,0.09,514.0
91,0.091,513.0
92,0.092,516.0
93,0.093,515.0
94,0.094,512.0
95,0.095,513.0
96,0.096,512.0
97,0.097,511.0
98,0.098,513.0
99,0.099,511.0
100,0.1,513.0
101,0.101,512.0
102,0.102,515.0
103,0.103,512.0
104,0.104,513.0
105,0.105,514.0
106,0.106,514.0
107,0.107,513.0
108,0.108,511.0
109,0.109,512.0
110,0.11,514.0
111,0.111,513.0
112,0.112,512.0
113,0.113,513.0
114,0.114,514.0
115,0.115,514.0
116,0.116,513.0
117,0.117,513.0
118,0.118,514.0
119,0.119,513.0
120,0.12,514.0
121,0.121,515.0
122,0.122,515.0
123,0.123,513.0
124,0.124,512.0
125,0.125,513.0
126,0.126,515.0
127,0.127,513.0
128,0.128,514.0
129,0.129,512.0
130,0.13,514.0
131,0.131,512.0
132,0.132,512.0
133,0.133,510.0
134,0.134,511.0
135,0.135,511.0
136,0.136,513.0
137,0.137,514.0
138,0.138,513.0
139,0.139,515.0
140,0.14,517.0
141,0.141,513.0
142,0.142,516.0
143,0.143,515.0
144,0.144,516.0
145,0.145,514.0
146,0.146,515.0
147,0.147,515.0
148,0.148,515.0
149,0.149,512.0
150,0.15,511.0
151,0.151,514.0
152,0.152,512.0
153,0.153,512.0
154,0.154,515.0
155,0.155,514.0
156,0.156,513.0
157,0.157,513.0
158,0.158,513.0
159,0.159,513.0
160,0.16,513.0
161,0.161,513.0
162,0.162,512.0
163,0.163,512.0
164,0.164,511.0
165,0.165,511.0
166,0.166,514.0
167,0.167,512.0
168,0.168,514.0
169,0.169,514.0
170,0.17,513.0
171,0.171,514.0
172,0.172,515.0
173,0.173,513.0
174,0.174,513.0
175,0.175,515.0
176,0.176,514.0
177,0.177,517.0
178,0.178,514.0
179,0.179,513.0
180,0.18,513.0
181,0.181,512.0
182,0.182,513.0
183,0.183,514.0
184,0.184,512.0
185,0.185,513.0
186,0.186,512.0
187,0.187,513.0
188,0.188,514.0
189,0.189,513.0
190,0.19,512.0
191,0.191,511.0
192,0.192,514.0
193,0.193,516.0
194,0.194,514.0
195,0.195,513.0
196,0.196,512.0
197,0.197,511.0
198,0.198,513.0
199,0.199,513.0
200,0.2,513.0
201,0.201,515.0
202,0.202,515.0
203,0.203,515.0
204,0.204,515.0
205,0.205,514.0
206,0.206,514.0
207,0.207,510.0
208,0.208,513.0
209,0.209,514.0
210,0.21,512.0
211,0.211,510.0
212,0.212,511.0
213,0.213,510.0
214,0.214,512.0
215,0.215,513.0
216,0.216,513.0
217,0.217,514.0
218,0.218,513.0
219,0.219,513.0
220,0.22,513.0
221,0.221,514.0
222,0.222,513.0
223,0.223,511.0
224,0.224,512.0
225,0.225,511.0
226,0.226,513.0
227,0.227,512.0
228,0.228,513.0
229,0.229,513.0
230,0.23,515.0
231,0.231,513.0
232,0.232,515.0
233,0.233,515.0
234,0.234,515.0
235,0.235,516.0
236,0.236,515.0
237,0.237,513.0
238,0.238,515.0
239,0.239,514.0
240,0.24,515.0
241,0.241,515.0
242,0.242,513.0
243,0.243,511.0
244,0.244,515.0
245,0.245,512.0
246,0.246,512.0
247,0.247,511.0
248,0.248,513.0
249,0.249,515.0
250,0.25,511.0
251,0.251,511.0
252,0.252,512.0
253,0.253,512.0
254,0.254,513.0
255,0.255,512.0
256,0.256,514.0
257,0.257,516.0
258,0.258,515.0
259,0.259,512.0
260,0.26,513.0
261,0.261,513.0
262,0.262,515.0
263,0.263,516.0
264,0.264,515.0
265,0.265,514.0
266,0.266,511.0
267,0.267,512.0
268,0.268,516.0
269,0.269,515.0
270,0.27,514.0
271,0.271,513.0
272,0.272,513.0
273,0.273,511.0
274,0.274,513.0
275,0.275,514.0
276,0.276,515.0
277,0.277,511.0
278,0.278,514.0
279,0.279,513.0
280,0.28,514.0
281,0.281,514.0
282,0.282,512.0
283,0.283,513.0
284,0.284,513.0
285,0.285,511.0
286,0.286,511.0
287,0.287,511.0
288,0.288,513.0
289,0.289,512.0
290,0.29,512.0
291,0.291,512.0
292,0.292,512.0
293,0.293,513.0
294,0.294,513.0
295,0.295,515.0
296,0.296,513.0
297,0.297,515.0
298,0.298,513.0
299,0.299,512.0
300,0.3,512.0
301,0.301,515.0
302,0.302,516.0
303,0.303,514.0
304,0.304,516.0
305,0.305,516.0
306,0.306,514.0
307,0.307,513.0
308,0.308,513.0
309,0.309,513.0
310,0.31,515.0
311,0.311,513.0
312,0.312,515.0
313,0.313,514.0
314,0.314,514.0
315,0.315,514.0
316,0.316,514.0
317,0.317,511.0
318,0.318,512.0
319,0.319,512.0
320,0.32,514.0
321,0.321,514.0
322,0.322,513.0
323,0.323,514.0
324,0.324,511.0
325,0.325,511.0
326,0.326,512.0
327,0.327,511.0
328,0.328,512.0
329,0.329,513.0
330,0.33,513.0
331,0.331,512.0
332,0.332,516.0
333,0.333,515.0
334,0.334,515.0
335,0.335,515.0
336,0.336,513.0
337,0.337,515.0
338,0.338,514.0
339,0.339,513.0
340,0.34,515.0
341,0.341,514.0
342,0.342,512.0
343,0.343,511.0
344,0.344,511.0
345,0.345,511.0
346,0.346,513.0
347,0.347,513.0
348,0.348,515.0
349,0.349,512.0
350,0.35,515.0
351,0.351,516.0
352,0.352,516.0
353,0.353,513.0
354,0.354,514.0
355,0.355,513.0
356,0.356,515.0
357,0.357,513.0
358,0.358,512.0
359,0.359,513.0
360,0.36,512.0
361,0.361,511.0
362,0.362,512.0
363,0.363,513.0
364,0.364,513.0
365,0.365,512.0
366,0.366,514.0
367,0.367,512.0
368,0.368,512.0
369,0.369,513.0
370,0.37,512.0
371,0.371,509.0
372,0.372,512.0
373,0.373,510.0
374,0.374,512.0
375,0.375,512.0
376,0.376,515.0
377,0.377,511.0
378,0.378,514.0
379,0.379,514.0
380,0.38,515.0
381,0.381,513.0
382,0.382,516.0
383,0.383,515.0
384,0.384,512.0
385,0.385,515.0
