,Time,Signal,Signal type,Processing stage
0,0.0,-0.1255024638779194,EMG,Bandpass filter
1,0.05,2.678576245214555,EMG,Bandpass filter
2,0.1,1.757800432601669,EMG,Bandpass filter
3,0.15,2.2974422859960573,EMG,Bandpass filter
4,0.2,0.6340512917713453,EMG,Bandpass filter
5,0.25,1.96104063149528,EMG,Bandpass filter
6,0.3,3.497635928737834,EMG,Bandpass filter
7,0.35,1.6790934182294506,EMG,Bandpass filter
8,0.4,0.35701434374165597,EMG,Bandpass filter
9,0.45,-0.5532163053195042,EMG,Bandpass filter
10,0.5,0.22976633598018448,EMG,Bandpass filter
11,0.55,2.251772944079965,EMG,Bandpass filter
12,0.6,0.1336852621542527,EMG,Bandpass filter
13,0.65,-2.917030617954539,EMG,Bandpass filter
14,0.7,-0.9216507484576504,EMG,Bandpass filter
15,0.75,0.9374664285750565,EMG,Bandpass filter
16,0.8,2.060291877576941,EMG,Bandpass filter
17,0.85,-0.17746460791928276,EMG,Bandpass filter
18,0.9,-0.9352297837613441,EMG,Bandpass filter
19,0.95,0.7504592441307403,EMG,Bandpass filter
20,1.0,-0.9256218516902397,EMG,Bandpass filter
21,1.05,1.7287386820412023,EMG,Bandpass filter
22,1.1,1.0789685704630134,EMG,Bandpass filter
23,1.15,-3.24680867121727,EMG,Bandpass filter
24,1.2,-1.9208533435757902,EMG,Bandpass filter
25,1.25,-0.19042504389813186,EMG,Bandpass filter
26,1.3,0.08140936037893509,EMG,Bandpass filter
27,1.35,0.8814714427686285,EMG,Bandpass filter
28,1.4,0.0901734541251118,EMG,Bandpass filter
29,1.45,-1.041884861180746,EMG,Bandpass filter
30,1.5,0.1021917630604875,EMG,Bandpass filter
31,1.55,-0.9617717605274202,EMG,Bandpass filter
32,1.6,0.1058709240494915,EMG,Bandpass filter
33,1.65,1.1281576722845217,EMG,Bandpass filter
34,1.7,-0.9134835028399404,EMG,Bandpass filter
35,1.75,0.23444063478499816,EMG,Bandpass filter
36,1.8,1.0354035647359974,EMG,Bandpass filter
37,1.85,1.355252703723612,EMG,Bandpass filter
38,1.9,-1.0436044369339978,EMG,Bandpass filter
39,1.95,-2.522606630592997,EMG,Bandpass filter
40,2.0,-0.13511048342895923,EMG,Bandpass filter
41,2.05,-0.4188650703734047,EMG,Bandpass filter
42,2.1,-0.2197553865216615,EMG,Bandpass filter
43,2.15,-0.35124306890942986,EMG,Bandpass filter
44,2.2,-1.2824095735488699,EMG,Bandpass filter
45,2.25,-0.32909948605933337,EMG,Bandpass filter
46,2.3,-0.3167232815222258,EMG,Bandpass filter
47,2.35,1.649022762277872,EMG,Bandpass filter
48,2.4,2.673289319957436,EMG,Bandpass filter
49,2.45,0.5960265461585946,EMG,Bandpass filter
50,2.5,-0.32724792452621554,EMG,Bandpass filter
51,2.55,-1.4645461735819403,EMG,Bandpass filter
52,2.6,1.6583348123780415,EMG,Bandpass filter
53,2.65,0.4956556848295531,EMG,Bandpass filter
54,2.7,-0.39230755822878716,EMG,Bandpass filter
55,2.75,2.496241212172634,EMG,Bandpass filter
56,2.8,-0.48469435540627387,EMG,Bandpass filter
57,2.85,1.5321769771011517,EMG,Bandpass filter
58,2.9,-0.5954899069392002,EMG,Bandpass filter
59,2.95,-1.4309393418909888,EMG,Bandpass filter
60,3.0,-0.677980354885215,EMG,Bandpass filter
61,3.05,-1.4405480454325028,EMG,Bandpass filter
62,3.1,1.312368993914908,EMG,Bandpass filter
63,3.15,-1.5263374747111245,EMG,Bandpass filter
64,3.2,1.387435537694794,EMG,Bandpass filter
65,3.25,-0.6759217483709538,EMG,Bandpass filter
66,3.3,-3.4866751618375544,EMG,Bandpass filter
67,3.35,-0.8358797392115394,EMG,Bandpass filter
68,3.4,0.6259610002894378,EMG,Bandpass filter
69,3.45,2.0605163508680464,EMG,Bandpass filter
70,3.5,0.6664225717341326,EMG,Bandpass filter
71,3.55,3.0561296385442445,EMG,Bandpass filter
72,3.6,-0.3859044333810434,EMG,Bandpass filter
73,3.65,-1.8541841710359592,EMG,Bandpass filter
74,3.7,0.4983982474591097,EMG,Bandpass filter
75,3.75,0.2785780709128116,EMG,Bandpass filter
76,3.8,-0.6165579812229238,EMG,Bandpass filter
77,3.85,0.38364278082391234,EMG,Bandpass filter
78,3.9,1.3351974368433497,EMG,Bandpass filter
79,3.95,-2.5943945464412024,EMG,Bandpass filter
80,4.0,1.3888669562204872,EMG,Bandpass filter
81,4.05,2.3304681468016746,EMG,Bandpass filter
82,4.1,0.5330654304926795,EMG,Bandpass filter
83,4.15,-0.8106188520291053,EMG,Bandpass filter
84,4.2,-3.281290799642341,EMG,Bandpass filter
85,4.25,-0.9609628896955779,EMG,Bandpass filter
86,4.3,-0.11384619676654872,EMG,Bandpass filter
87,4.35,0.9316951328841413,EMG,Bandpass filter
88,4.4,-1.0064042262999089,EMG,Bandpass filter
89,4.45,-1.1075985985081127,EMG,Bandpass filter
90,4.5,1.0317699855461682,EMG,Bandpass filter
91,4.55,0.9135294224241979,EMG,Bandpass filter
92,4.6,0.020593086134933863,EMG,Bandpass filter
93,4.65,-1.0345366746551266,EMG,Bandpass filter
94,4.7,-0.006675416114205246,EMG,Bandpass filter
95,4.75,3.0151194413936104,EMG,Bandpass filter
96,4.8,1.977604493503264,EMG,Bandpass filter
97,4.85,-2.9567479656251745,EMG,Bandpass filter
98,4.9,-0.018523180971331765,EMG,Bandpass filter
99,4.95,1.0534960491239893,EMG,Bandpass filter
100,5.0,-0.009520924849048346,EMG,Bandpass filter
