,Time,Signal,Signal type,Processing stage
0,0.0,0.0006345469238006531,EMG,Normalized signal
1,0.05,0.013543019507726474,EMG,Normalized signal
2,0.1,0.008887529556773013,EMG,Normalized signal
3,0.15,0.011615986572235146,EMG,Normalized signal
4,0.2,0.0032057960002817394,EMG,Normalized signal
5,0.25,0.0099151224741999,EMG,Normalized signal
6,0.3,0.01768422746914462,EMG,Normalized signal
7,0.35,0.008489582836778684,EMG,Normalized signal
8,0.4,0.00180508291689271,EMG,Normalized signal
9,0.45,0.0027970901438104405,EMG,Normalized signal
10,0.5,0.0011617104332787894,EMG,Normalized signal
11,0.55,0.011385080026423857,EMG,Normalized signal
12,0.6,0.0006759195734992229,EMG,Normalized signal
13,0.65,0.014748657102508327,EMG,Normalized signal
14,0.7,0.004659913671665096,EMG,Normalized signal
15,0.75,0.004739878565231467,EMG,Normalized signal
16,0.8,0.010416941888245526,EMG,Normalized signal
17,0.85,0.0008972702013899039,EMG,Normalized signal
18,0.9,0.0047285699738116495,EMG,Normalized signal
19,0.95,0.003794360605255864,EMG,Normalized signal
20,1.0,0.004679991774217612,EMG,Normalized signal
21,1.05,0.00874059184855125,EMG,Normalized signal
22,1.1,0.00545532068542401,EMG,Normalized signal
23,1.15,0.016416031931407206,EMG,Normalized signal
24,1.2,0.009711933475854747,EMG,Normalized signal
25,1.25,0.0009627988334771097,EMG,Normalized signal
26,1.3,0.0004116099206409335,EMG,Normalized signal
27,1.35,0.004456765031888466,EMG,Normalized signal
28,1.4,0.0004559216301859076,EMG,Normalized signal
29,1.45,0.0052678235405785485,EMG,Normalized signal
30,1.5,0.0005166868193988206,EMG,Normalized signal
31,1.55,0.004862767575899246,EMG,Normalized signal
32,1.6,0.0005352888469256332,EMG,Normalized signal
33,1.65,0.005704023318670453,EMG,Normalized signal
34,1.7,0.004618619657009867,EMG,Normalized signal
35,1.75,0.001185343928876173,EMG,Normalized signal
36,1.8,0.0052350537718092605,EMG,Normalized signal
37,1.85,0.006852227498552218,EMG,Normalized signal
38,1.9,0.0052765178041870265,EMG,Normalized signal
39,1.95,0.012754429099965598,EMG,Normalized signal
40,2.0,0.0006831255656977505,EMG,Normalized signal
41,2.05,0.0021178033775618196,EMG,Normalized signal
42,2.1,0.0011110945570087522,EMG,Normalized signal
43,2.15,0.0017759030539797435,EMG,Normalized signal
44,2.2,0.006483928879193197,EMG,Normalized signal
45,2.25,0.001663943958155763,EMG,Normalized signal
46,2.3,0.0016013692303401524,EMG,Normalized signal
47,2.35,0.008337544050916256,EMG,Normalized signal
48,2.4,0.01351628854122105,EMG,Normalized signal
49,2.45,0.003013540927263062,EMG,Normalized signal
50,2.5,0.0016545823676437999,EMG,Normalized signal
51,2.55,0.007404820913431806,EMG,Normalized signal
52,2.6,0.008384626256020117,EMG,Normalized signal
53,2.65,0.002506060680839225,EMG,Normalized signal
54,2.7,0.001983527227799867,EMG,Normalized signal
55,2.75,0.012621124185970983,EMG,Normalized signal
56,2.8,0.0024506396344996626,EMG,Normalized signal
57,2.85,0.007746765740658679,EMG,Normalized signal
58,2.9,0.0030108276517198124,EMG,Normalized signal
59,2.95,0.007234903040831925,EMG,Normalized signal
60,3.0,0.003427903606802244,EMG,Normalized signal
61,3.05,0.007283485141020102,EMG,Normalized signal
62,3.1,0.00663540525220379,EMG,Normalized signal
63,3.15,0.007717240915698089,EMG,Normalized signal
64,3.2,0.007014945565310377,EMG,Normalized signal
65,3.25,0.0034174951861977595,EMG,Normalized signal
66,3.3,0.017628809266950325,EMG,Normalized signal
67,3.35,0.004226251029620563,EMG,Normalized signal
68,3.4,0.0031648910697021394,EMG,Normalized signal
69,3.45,0.010418076836771196,EMG,Normalized signal
70,3.5,0.003369466859683013,EMG,Normalized signal
71,3.55,0.015451948917597626,EMG,Normalized signal
72,3.6,0.0019511526986527772,EMG,Normalized signal
73,3.65,0.00937485070440704,EMG,Normalized signal
74,3.7,0.002519927218803042,EMG,Normalized signal
75,3.75,0.0014085050800914628,EMG,Normalized signal
76,3.8,0.003117348920817323,EMG,Normalized signal
77,3.85,0.0019397176667937262,EMG,Normalized signal
78,3.9,0.006750827035870859,EMG,Normalized signal
79,3.95,0.013117392501320409,EMG,Normalized signal
80,4.0,0.007022182891129203,EMG,Normalized signal
81,4.05,0.011782967026104625,EMG,Normalized signal
82,4.1,0.0026952062824251244,EMG,Normalized signal
83,4.15,0.004098530682475179,EMG,Normalized signal
84,4.2,0.0165903753493939,EMG,Normalized signal
85,4.25,0.0048586778832969005,EMG,Normalized signal
86,4.3,0.000575612236703882,EMG,Normalized signal
87,4.35,0.004710698596855895,EMG,Normalized signal
88,4.4,0.005088431622504099,EMG,Normalized signal
89,4.45,0.005600075582363849,EMG,Normalized signal
90,4.5,0.0052166822082076484,EMG,Normalized signal
91,4.55,0.00461885182879385,EMG,Normalized signal
92,4.6,0.00010411970454377022,EMG,Normalized signal
93,4.65,0.005230670730894423,EMG,Normalized signal
94,4.7,3.375124781995212e-05,EMG,Normalized signal
95,4.75,0.015244599247779936,EMG,Normalized signal
96,4.8,0.009998870213954625,EMG,Normalized signal
97,4.85,0.014949470058741903,EMG,Normalized signal
98,4.9,9.365415738606311e-05,EMG,Normalized signal
99,4.95,0.005326530305078592,EMG,Normalized signal
100,5.0,4.81382865963299e-05,EMG,Normalized signal
101,5.05,0.005401853489427905,EMG,Normalized signal
102,5.1,0.00011000488483003582,EMG,Normalized signal
103,5.15,0.0044818570368902865,EMG,Normalized signal
104,5.2,0.010491067220986819,EMG,Normalized signal
105,5.25,0.0010088949177342352,EMG,Normalized signal
106,5.3,0.0008466327054546822,EMG,Normalized signal
107,5.35,0.0034742392934566536,EMG,Normalized signal
108,5.4,0.0013878928926629166,EMG,Normalized signal
