,Time,Signal,Signal type,Processing stage
0,0.0,507.0,EMG,Raw signal
1,0.05,510.0,EMG,Raw signal
2,0.1,509.0,EMG,Raw signal
3,0.15,510.0,EMG,Raw signal
4,0.2,508.0,EMG,Raw signal
5,0.25,510.0,EMG,Raw signal
6,0.3,511.0,EMG,Raw signal
7,0.35,510.0,EMG,Raw signal
8,0.4,508.0,EMG,Raw signal
9,0.45,508.0,EMG,Raw signal
10,0.5,508.0,EMG,Raw signal
11,0.55,511.0,EMG,Raw signal
12,0.6,508.0,EMG,Raw signal
13,0.65,506.0,EMG,Raw signal
14,0.7,507.0,EMG,Raw signal
15,0.75,510.0,EMG,Raw signal
16,0.8,510.0,EMG,Raw signal
17,0.85,509.0,EMG,Raw signal
18,0.9,507.0,EMG,Raw signal
19,0.95,510.0,EMG,Raw signal
20,1.0,507.0,EMG,Raw signal
21,1.05,511.0,EMG,Raw signal
22,1.1,509.0,EMG,Raw signal
23,1.15,506.0,EMG,Raw signal
24,1.2,506.0,EMG,Raw signal
25,1.25,509.0,EMG,Raw signal
26,1.3,508.0,EMG,Raw signal
27,1.35,510.0,EMG,Raw signal
28,1.4,508.0,EMG,Raw signal
29,1.45,508.0,EMG,Raw signal
30,1.5,508.0,EMG,Raw signal
31,1.55,508.0,EMG,Raw signal
32,1.6,508.0,EMG,Raw signal
33,1.65,510.0,EMG,Raw signal
34,1.7,507.0,EMG,Raw signal
35,1.75,509.0,EMG,Raw signal
36,1.8,509.0,EMG,Raw signal
37,1.85,510.0,EMG,Raw signal
38,1.9,507.0,EMG,Raw signal
39,1.95,506.0,EMG,Raw signal
40,2.0,508.0,EMG,Raw signal
41,2.05,508.0,EMG,Raw signal
42,2.1,508.0,EMG,Raw signal
43,2.15,508.0,EMG,Raw signal
44,2.2,507.0,EMG,Raw signal
45,2.25,508.0,EMG,Raw signal
46,2.3,508.0,EMG,Raw signal
47,2.35,510.0,EMG,Raw signal
48,2.4,511.0,EMG,Raw signal
49,2.45,509.0,EMG,Raw signal
50,2.5,508.0,EMG,Raw signal
51,2.55,507.0,EMG,Raw signal
52,2.6,510.0,EMG,Raw signal
53,2.65,509.0,EMG,Raw signal
54,2.7,508.0,EMG,Raw signal
55,2.75,511.0,EMG,Raw signal
56,2.8,508.0,EMG,Raw signal
57,2.85,510.0,EMG,Raw signal
58,2.9,508.0,EMG,Raw signal
59,2.95,507.0,EMG,Raw signal
60,3.0,508.0,EMG,Raw signal
61,3.05,507.0,EMG,Raw signal
62,3.1,510.0,EMG,Raw signal
63,3.15,507.0,EMG,Raw signal
64,3.2,510.0,EMG,Raw signal
65,3.25,508.0,EMG,Raw signal
66,3.3,505.0,EMG,Raw signal
67,3.35,508.0,EMG,Raw signal
68,3.4,509.0,EMG,Raw signal
69,3.45,511.0,EMG,Raw signal
70,3.5,509.0,EMG,Raw signal
71,3.55,512.0,EMG,Raw signal
72,3.6,508.0,EMG,Raw signal
73,3.65,507.0,EMG,Raw signal
74,3.7,509.0,EMG,Raw signal
75,3.75,509.0,EMG,Raw signal
76,3.8,508.0,EMG,Raw signal
77,3.85,509.0,EMG,Raw signal
78,3.9,510.0,EMG,Raw signal
79,3.95,506.0,EMG,Raw signal
80,4.0,510.0,EMG,Raw signal
81,4.05,511.0,EMG,Raw signal
82,4.1,509.0,EMG,Raw signal
83,4.15,508.0,EMG,Raw signal
84,4.2,505.0,EMG,Raw signal
85,4.25,508.0,EMG,Raw signal
86,4.3,508.0,EMG,Raw signal
87,4.35,510.0,EMG,Raw signal
88,4.4,507.0,EMG,Raw signal
89,4.45,508.0,EMG,Raw signal
90,4.5,509.0,EMG,Raw signal
91,4.55,510.0,EMG,Raw signal
92,4.6,508.0,EMG,Raw signal
93,4.65,508.0,EMG,Raw signal
94,4.7,508.0,EMG,Raw signal
95,4.75,512.0,EMG,Raw signal
96,4.8,510.0,EMG,Raw signal
97,4.85,506.0,EMG,Raw signal
98,4.9,508.0,EMG,Raw signal
99,4.95,510.0,EMG,Raw signal
100,5.0,508.0,EMG,Raw signal
101,5.05,510.0,EMG,Raw signal
102,5.1,508.0,EMG,Raw signal
103,5.15,508.0,EMG,Raw signal
104,5.2,506.0,EMG,Raw signal
105,5.25,509.0,EMG,Raw signal
106,5.3,508.0,EMG,Raw signal
107,5.35,508.0,EMG,Raw signal
108,5.4,508.0,EMG,Raw signal
109,5.45,507.0,EMG,Raw signal
110,5.5,508.0,EMG,Raw signal
111,5.55,510.0,EMG,Raw signal
112,5.6,510.0,EMG,Raw signal
113,5.65,508.0,EMG,Raw signal
114,5.7,511.0,EMG,Raw signal
115,5.75,510.0,EMG,Raw signal
116,5.8,505.0,EMG,Raw signal
117,5.85,508.0,EMG,Raw signal
118,5.9,508.0,EMG,Raw signal
119,5.95,509.0,EMG,Raw signal
120,6.0,510.0,EMG,Raw signal
121,6.05,510.0,EMG,Raw signal
122,6.1,510.0,EMG,Raw signal
123,6.15,508.0,EMG,Raw signal
124,6.2,505.0,EMG,Raw signal
125,6.25,508.0,EMG,Raw signal
126,6.3,507.0,EMG,Raw signal
127,6.35,510.0,EMG,Raw signal
128,6.4,509.0,EMG,Raw signal
129,6.45,508.0,EMG,Raw signal
130,6.5,510.0,EMG,Raw signal
131,6.55,506.0,EMG,Raw signal
132,6.6,507.0,EMG,Raw signal
133,6.65,510.0,EMG,Raw signal
134,6.7,507.0,EMG,Raw signal
135,6.75,511.0,EMG,Raw signal
136,6.8,509.0,EMG,Raw signal
137,6.85,507.0,EMG,Raw signal
138,6.9,507.0,EMG,Raw signal
139,6.95,508.0,EMG,Raw signal
140,7.0,509.0,EMG,Raw signal
141,7.05,507.0,EMG,Raw signal
142,7.1,509.0,EMG,Raw signal
143,7.15,511.0,EMG,Raw signal
144,7.2,510.0,EMG,Raw signal
145,7.25,509.0,EMG,Raw signal
146,7.3,508.0,EMG,Raw signal
147,7.35,508.0,EMG,Raw signal
148,7.4,504.0,EMG,Raw signal
149,7.45,509.0,EMG,Raw signal
150,7.5,507.0,EMG,Raw signal
151,7.55,509.0,EMG,Raw signal
152,7.6,508.0,EMG,Raw signal
153,7.65,507.0,EMG,Raw signal
154,7.7,508.0,EMG,Raw signal
155,7.75,511.0,EMG,Raw signal
156,7.8,510.0,EMG,Raw signal
157,7.85,511.0,EMG,Raw signal
158,7.9,507.0,EMG,Raw signal
159,7.95,508.0,EMG,Raw signal
160,8.0,509.0,EMG,Raw signal
161,8.05,510.0,EMG,Raw signal
162,8.1,508.0,EMG,Raw signal
163,8.15,510.0,EMG,Raw signal
164,8.2,507.0,EMG,Raw signal
165,8.25,509.0,EMG,Raw signal
166,8.3,509.0,EMG,Raw signal
167,8.35,504.0,EMG,Raw signal
168,8.4,506.0,EMG,Raw signal
169,8.45,510.0,EMG,Raw signal
170,8.5,510.0,EMG,Raw signal
171,8.55,506.0,EMG,Raw signal
172,8.6,507.0,EMG,Raw signal
173,8.65,506.0,EMG,Raw signal
174,8.7,508.0,EMG,Raw signal
175,8.75,507.0,EMG,Raw signal
176,8.8,508.0,EMG,Raw signal
177,8.85,509.0,EMG,Raw signal
178,8.9,510.0,EMG,Raw signal
179,8.95,508.0,EMG,Raw signal
180,9.0,507.0,EMG,Raw signal
181,9.05,509.0,EMG,Raw signal
182,9.1,510.0,EMG,Raw signal
183,9.15,509.0,EMG,Raw signal
184,9.2,509.0,EMG,Raw signal
185,9.25,510.0,EMG,Raw signal
186,9.3,511.0,EMG,Raw signal
187,9.35,508.0,EMG,Raw signal
188,9.4,510.0,EMG,Raw signal
189,9.45,509.0,EMG,Raw signal
190,9.5,508.0,EMG,Raw signal
191,9.55,508.0,EMG,Raw signal
192,9.6,508.0,EMG,Raw signal
193,9.65,507.0,EMG,Raw signal
194,9.7,508.0,EMG,Raw signal
195,9.75,508.0,EMG,Raw signal
196,9.8,511.0,EMG,Raw signal
197,9.85,507.0,EMG,Raw signal
198,9.9,507.0,EMG,Raw signal
199,9.95,509.0,EMG,Raw signal
200,10.0,510.0,EMG,Raw signal
201,10.05,508.0,EMG,Raw signal
202,10.1,508.0,EMG,Raw signal
203,10.15,507.0,EMG,Raw signal
204,10.2,510.0,EMG,Raw signal
205,10.25,510.0,EMG,Raw signal
206,10.3,510.0,EMG,Raw signal
207,10.35,509.0,EMG,Raw signal
208,10.4,506.0,EMG,Raw signal
209,10.45,508.0,EMG,Raw signal
210,10.5,510.0,EMG,Raw signal
211,10.55,509.0,EMG,Raw signal
212,10.6,507.0,EMG,Raw signal
213,10.65,507.0,EMG,Raw signal
214,10.7,509.0,EMG,Raw signal
215,10.75,508.0,EMG,Raw signal
216,10.8,511.0,EMG,Raw signal
217,10.85,507.0,EMG,Raw signal
218,10.9,507.0,EMG,Raw signal
219,10.95,509.0,EMG,Raw signal
220,11.0,508.0,EMG,Raw signal
221,11.05,510.0,EMG,Raw signal
222,11.1,508.0,EMG,Raw signal
223,11.15,510.0,EMG,Raw signal
224,11.2,503.0,EMG,Raw signal
225,11.25,509.0,EMG,Raw signal
226,11.3,507.0,EMG,Raw signal
227,11.35,507.0,EMG,Raw signal
228,11.4,509.0,EMG,Raw signal
229,11.45,507.0,EMG,Raw signal
230,11.5,507.0,EMG,Raw signal
231,11.55,507.0,EMG,Raw signal
232,11.6,509.0,EMG,Raw signal
233,11.65,507.0,EMG,Raw signal
234,11.7,510.0,EMG,Raw signal
235,11.75,511.0,EMG,Raw signal
236,11.8,508.0,EMG,Raw signal
237,11.85,508.0,EMG,Raw signal
238,11.9,508.0,EMG,Raw signal
239,11.95,504.0,EMG,Raw signal
240,12.0,507.0,EMG,Raw signal
241,12.05,508.0,EMG,Raw signal
242,12.1,508.0,EMG,Raw signal
243,12.15,511.0,EMG,Raw signal
244,12.2,506.0,EMG,Raw signal
245,12.25,509.0,EMG,Raw signal
246,12.3,506.0,EMG,Raw signal
247,12.35,509.0,EMG,Raw signal
248,12.4,511.0,EMG,Raw signal
249,12.45,507.0,EMG,Raw signal
250,12.5,510.0,EMG,Raw signal
251,12.55,510.0,EMG,Raw signal
252,12.6,509.0,EMG,Raw signal
253,12.65,508.0,EMG,Raw signal
254,12.7,508.0,EMG,Raw signal
255,12.75,509.0,EMG,Raw signal
256,12.8,508.0,EMG,Raw signal
257,12.85,508.0,EMG,Raw signal
258,12.9,508.0,EMG,Raw signal
259,12.95,512.0,EMG,Raw signal
260,13.0,509.0,EMG,Raw signal
261,13.05,507.0,EMG,Raw signal
262,13.1,508.0,EMG,Raw signal
263,13.15,509.0,EMG,Raw signal
264,13.2,510.0,EMG,Raw signal
265,13.25,510.0,EMG,Raw signal
266,13.3,508.0,EMG,Raw signal
267,13.35,508.0,EMG,Raw signal
268,13.4,507.0,EMG,Raw signal
269,13.45,507.0,EMG,Raw signal
270,13.5,508.0,EMG,Raw signal
271,13.55,509.0,EMG,Raw signal
272,13.6,508.0,EMG,Raw signal
273,13.65,505.0,EMG,Raw signal
274,13.7,511.0,EMG,Raw signal
275,13.75,507.0,EMG,Raw signal
276,13.8,508.0,EMG,Raw signal
277,13.85,508.0,EMG,Raw signal
278,13.9,509.0,EMG,Raw signal
279,13.95,510.0,EMG,Raw signal
280,14.0,508.0,EMG,Raw signal
281,14.05,510.0,EMG,Raw signal
282,14.1,508.0,EMG,Raw signal
283,14.15,509.0,EMG,Raw signal
284,14.2,509.0,EMG,Raw signal
285,14.25,508.0,EMG,Raw signal
286,14.3,509.0,EMG,Raw signal
287,14.35,510.0,EMG,Raw signal
288,14.4,509.0,EMG,Raw signal
289,14.45,510.0,EMG,Raw signal
290,14.5,510.0,EMG,Raw signal
291,14.55,509.0,EMG,Raw signal
292,14.6,510.0,EMG,Raw signal
293,14.65,510.0,EMG,Raw signal
294,14.7,510.0,EMG,Raw signal
295,14.75,509.0,EMG,Raw signal
296,14.8,506.0,EMG,Raw signal
297,14.85,508.0,EMG,Raw signal
298,14.9,508.0,EMG,Raw signal
299,14.95,505.0,EMG,Raw signal
300,15.0,511.0,EMG,Raw signal
301,15.05,509.0,EMG,Raw signal
302,15.1,509.0,EMG,Raw signal
303,15.15,510.0,EMG,Raw signal
304,15.2,509.0,EMG,Raw signal
305,15.25,509.0,EMG,Raw signal
306,15.3,509.0,EMG,Raw signal
307,15.35,508.0,EMG,Raw signal
308,15.4,510.0,EMG,Raw signal
309,15.45,508.0,EMG,Raw signal
310,15.5,507.0,EMG,Raw signal
311,15.55,508.0,EMG,Raw signal
312,15.6,508.0,EMG,Raw signal
313,15.65,507.0,EMG,Raw signal
314,15.7,510.0,EMG,Raw signal
315,15.75,508.0,EMG,Raw signal
316,15.8001,506.0,EMG,Raw signal
317,15.8501,509.0,EMG,Raw signal
318,15.9001,508.0,EMG,Raw signal
319,15.9501,508.0,EMG,Raw signal
320,16.0001,508.0,EMG,Raw signal
321,16.0501,508.0,EMG,Raw signal
