,index,year,month,day,hour,minute,signal,sr,time,date,muscle,id,time_of_day
0,0,2023,11,12,20,49,[515 512 513 ... 514 512 514],1000,"[0.00000000e+00 1.00004831e-03 2.00009662e-03 ... 2.06979999e+01
 2.06990000e+01 2.07000000e+01]",2023-11-12,./Vastus Lateralis Left,0,PM
1,1,2023,11,11,20,14,[512 512 512 ... 509 512 512],1000,"[0.00000000e+00 1.00004386e-03 2.00008772e-03 ... 2.27979999e+01
 2.27990000e+01 2.28000000e+01]",2023-11-11,./Vastus Lateralis Left,1,PM
2,2,2023,11,6,11,3,[514 513 513 ... 514 516 513],1000,"[0.00000000e+00 1.00004386e-03 2.00008772e-03 ... 2.27979999e+01
 2.27990000e+01 2.28000000e+01]",2023-11-06,./Vastus Lateralis Left,2,AM
3,3,2023,11,10,20,41,[514 515 513 ... 513 515 514],1000,"[0.00000000e+00 1.00004566e-03 2.00009133e-03 ... 2.18979999e+01
 2.18990000e+01 2.19000000e+01]",2023-11-10,./Vastus Lateralis Left,3,PM
4,4,2023,11,23,22,19,[513 513 512 ... 513 512 512],1000,"[0.00000000e+00 1.00004866e-03 2.00009733e-03 ... 2.05479999e+01
 2.05490000e+01 2.05500000e+01]",2023-11-23,./Vastus Lateralis Left,4,PM
5,5,2023,11,7,21,37,[511 511 512 ... 512 512 511],1000,"[0.00000000e+00 1.00004415e-03 2.00008830e-03 ... 2.26479999e+01
 2.26490000e+01 2.26500000e+01]",2023-11-07,./Vastus Lateralis Left,5,PM
6,6,2023,11,18,8,6,[517 514 513 ... 512 513 513],1000,"[0.00000000e+00 1.00004796e-03 2.00009593e-03 ... 2.08479999e+01
 2.08490000e+01 2.08500000e+01]",2023-11-18,./Vastus Lateralis Left,6,AM
7,7,2023,11,30,8,55,[510 511 512 ... 513 513 513],1000,"[0.00000000e+00 1.00004566e-03 2.00009133e-03 ... 2.18979999e+01
 2.18990000e+01 2.19000000e+01]",2023-11-30,./Vastus Lateralis Left,7,AM
8,8,2023,12,1,21,40,[527 522 517 ... 513 519 523],1000,"[0.00000000e+00 1.00004939e-03 2.00009877e-03 ... 2.02479999e+01
 2.02490000e+01 2.02500000e+01]",2023-12-01,./Vastus Lateralis Left,8,PM
9,9,2023,11,29,8,29,[520 524 522 ... 513 514 511],1000,"[0.00000000e+00 1.00004535e-03 2.00009071e-03 ... 2.20479999e+01
 2.20490000e+01 2.20500000e+01]",2023-11-29,./Vastus Lateralis Left,9,AM
