,date,index,signal_emg,emg_envelope,signal_mmg
3999,2024-07-09 00:00:00.000000000,36690,0.02922632347028827,0.3273856779504361,0.02021863372348111
0,2024-07-09 00:00:00.000000000,33285,0.30041488793178245,0.9301779021225967,0.04343944245171869
4,2024-07-09 00:01:26.443221610,33289,0.02894407179652367,0.9224302029056438,0.03096087813981328
9,2024-07-09 00:03:14.497248624,33294,0.30211873575749487,0.9127115402648919,0.01577136488765015
14,2024-07-09 00:05:02.551275637,33299,0.43274849720384456,0.9029585458622429,0.015082913839851289
19,2024-07-09 00:06:50.605302651,33304,0.23519441132667837,0.8931749864572438,0.005327487533419225
24,2024-07-09 00:08:38.659329664,33309,0.06312175377314796,0.8833646556088138,0.019436337234040573
29,2024-07-09 00:10:26.713356678,33314,0.07307474456770197,0.8735313701705507,0.01546751262985479
34,2024-07-09 00:12:14.767383691,33319,0.15149644125227688,0.8636789667583832,0.01939587746635248
39,2024-07-09 00:14:02.821410705,33324,0.07114870465518124,0.8538112981985791,0.02770217654003489
44,2024-07-09 00:15:50.875437718,33329,0.019920965849112134,0.8439322299634489,0.019364114313847422
49,2024-07-09 00:17:38.929464732,33334,0.0812096307765604,0.8340456366020929,0.007802585099516381
54,2024-07-09 00:19:26.983491745,33339,0.1019069351947136,0.824155398173662,0.020775768526651764
59,2024-07-09 00:21:15.037518759,33344,0.051487368945014905,0.8142653966896921,0.0019769030933013266
64,2024-07-09 00:23:03.091545772,33349,0.05205474466215572,0.8043795125717076,0.0331870197542879
69,2024-07-09 00:24:51.145572786,33354,0.07444266765907963,0.7945016211299933,0.03152361933964537
74,2024-07-09 00:26:39.199599799,33359,0.05391177190155903,0.7846355890690703,0.017063170338574865
79,2024-07-09 00:28:27.253626813,33364,0.08701148376661273,0.7747852710245867,0.03510730577589934
84,2024-07-09 00:30:15.307653826,33369,0.06349386607813477,0.7649545061363058,0.04843507315702892
89,2024-07-09 00:32:03.361680840,33374,0.19470155638356945,0.7551471146616429,0.002372054862152398
94,2024-07-09 00:33:51.415707853,33379,0.25261815633813545,0.7453668946336042,0.05354552821559061
99,2024-07-09 00:35:39.469734867,33384,0.06853588756905062,0.7356176185664371,0.013718079752525444
104,2024-07-09 00:37:27.523761880,33389,0.18279434162005412,0.7259030302125454,0.04814869761315697
109,2024-07-09 00:39:15.577788894,33394,0.17398686519801174,0.7162268413741918,0.03958554435940102
114,2024-07-09 00:41:03.631815907,33399,0.11322994775467517,0.70659272877338,0.008865548020036314
119,2024-07-09 00:42:51.685842921,33404,0.031437971488933465,0.6970043309834377,0.012654508397490365
124,2024-07-09 00:44:39.739869934,33409,0.0720195041712265,0.6874652454258163,0.019714320276984828
129,2024-07-09 00:46:27.793896948,33414,0.009724698351436589,0.6779790254354203,0.00465086266808318
134,2024-07-09 00:48:15.847923961,33419,0.08593769671315211,0.6685491773975195,0.005893167064347615
139,2024-07-09 00:50:03.901950975,33424,0.21746106096873852,0.6591791579585818,0.012185544117928016
144,2024-07-09 00:51:51.955977988,33429,0.011176932320266446,0.6498723713133168,0.037627449670909086
149,2024-07-09 00:53:40.010005002,33434,0.14207053170577824,0.64063216656967,0.04176304434205173
154,2024-07-09 00:55:28.064032016,33439,0.2283992689958604,0.6314618351932473,0.0038448154498185597
159,2024-07-09 00:57:16.118059029,33444,0.002902827978301933,0.6223646085329242,0.021137282501594704
164,2024-07-09 00:59:04.172086043,33449,0.047222110640235945,0.6133436554293321,0.0237808356687124
169,2024-07-09 01:00:52.226113056,33454,0.023160545361419177,0.6044020799079018,0.03407768459266345
174,2024-07-09 01:02:40.280140070,33459,0.1000216959653817,0.5955429189585287,0.04370023537588919
179,2024-07-09 01:04:28.334167083,33464,0.1380409508586937,0.5867691404033955,0.018496277205302777
184,2024-07-09 01:06:16.388194097,33469,0.22894013811706504,0.5780836408546267,0.021840322445366742
