,date,index,signal_emg,emg_envelope,signal_mmg
4999,2024-06-30 00:00:00.000000000,35999,0.06962062307911271,0.3410600719382708,0.006973771817050878
0,2024-06-30 00:00:00.000000000,31000,0.05706906568179263,0.3153273712255211,0.07128643886370592
4,2024-06-30 00:01:09.133826765,31004,0.1445515169389624,0.3183788221394151,0.04683545681466673
9,2024-06-30 00:02:35.551110222,31009,0.2781433201412563,0.3222050658140482,0.020075148991160172
14,2024-06-30 00:04:01.968393678,31014,0.08943147737895785,0.326043249603514,0.018754768081422898
19,2024-06-30 00:05:28.385677135,31019,0.14098201215461315,0.32989195597209275,0.038892547885106286
24,2024-06-30 00:06:54.802960592,31024,0.02252640042665294,0.3337497601033759,0.05643366834205523
29,2024-06-30 00:08:21.220244048,31029,0.26065914305513693,0.33761523119828796,0.05954820270634289
34,2024-06-30 00:09:47.637527505,31034,0.012281413291668685,0.3414869337746051,0.04097888025548161
39,2024-06-30 00:11:14.054810962,31039,0.371789474865763,0.34536342896512134,0.02305768352741532
44,2024-06-30 00:12:40.472094418,31044,0.11956721078381609,0.3492432758115989,0.03851459753510002
49,2024-06-30 00:14:06.889377875,31049,0.060317979005879964,0.35312503255165734,0.05667432951695318
54,2024-06-30 00:15:33.306661332,31054,0.09215318950315275,0.35700725789587806,0.04493205652234624
59,2024-06-30 00:16:59.723944788,31059,0.040541932605894546,0.36088851229265184,0.0348255660849662
64,2024-06-30 00:18:26.141228245,31064,0.16915505263182237,0.3647673591782902,0.04382100701741088
69,2024-06-30 00:19:52.558511702,31069,0.1648527272872614,0.3686423662099558,0.03025039173394838
74,2024-06-30 00:21:18.975795159,31074,0.18112493633622856,0.3725121064789301,0.0038865751738836676
79,2024-06-30 00:22:45.393078615,31079,0.03782026915117138,0.37637515970190566,0.010919885389751078
84,2024-06-30 00:24:11.810362072,31084,0.11989583618881403,0.38023011338819707,0.0044289345200658825
89,2024-06-30 00:25:38.227645529,31089,0.4167650715007707,0.38407556398118925,0.004500842581419854
94,2024-06-30 00:27:04.644928985,31094,0.031241830696758146,0.38791011797238434,0.0004987205808496795
99,2024-06-30 00:28:31.062212442,31099,0.1512998503528195,0.39173239298676893,0.002015168814963835
104,2024-06-30 00:29:57.479495899,31104,0.48672348570785495,0.39554101883865983,0.01865090171632116
109,2024-06-30 00:31:23.896779355,31109,0.09368507714048761,0.3993346385573439,0.06306576456890141
114,2024-06-30 00:32:50.314062812,31114,0.2013124342501197,0.4031119093818078,0.06910813676612679
119,2024-06-30 00:34:16.731346269,31119,0.03023901534444999,0.4068715037243639,0.020577943662212106
124,2024-06-30 00:35:43.148629725,31124,0.12333259400604056,0.4106121101030638,0.0005388455656505027
129,2024-06-30 00:37:09.565913182,31129,0.1428641801189734,0.4143324340428335,0.030526154336964092
134,2024-06-30 00:38:35.983196639,31134,0.0474974863484508,0.4180311989454621,0.04347604956447808
139,2024-06-30 00:40:02.400480096,31139,0.025577477771492142,0.42170714692869,0.011343092686049718
144,2024-06-30 00:41:28.817763552,31144,0.0285190599323889,0.42535903963479443,0.03953413700578098
149,2024-06-30 00:42:55.235047009,31149,0.020526925334789815,0.4289856590088272,0.0800420110906328
154,2024-06-30 00:44:21.652330466,31154,0.2800959834678682,0.4325858080464568,0.09096041324790925
159,2024-06-30 00:45:48.069613922,31159,0.1543351443366847,0.4361583115111351,0.08291027935453711
164,2024-06-30 00:47:14.486897379,31164,0.5171908592416853,0.43970201662020825,0.0741890329664232
169,2024-06-30 00:48:40.904180836,31169,0.16518195215140552,0.44321579369959385,0.0513955755688051
174,2024-06-30 00:50:07.321464292,31174,0.04061441947510877,0.4466985368065929,0.021643804854137767
179,2024-06-30 00:51:33.738747749,31179,0.027422918683976637,0.45014916432080343,0.011148001903423287
184,2024-06-30 00:53:00.156031206,31184,0.08534038558228182,0.45356661950335614,0.03684119466212671
189,2024-06-30 00:54:26.573314662,31189,0.16404646319146768,0.45694987102458323,0.0598704993611328
194,2024-06-30 00:55:52.990598119,31194,0.050827305148164574,0.4602979134601482,0.018245254893144696
199,2024-06-30 00:57:19.407881576,31199,0.1250688313999673,0.4636097677556125,0.039315812259373535
204,2024-06-30 00:58:45.825165033,31204,0.11182916570691959,0.46688448165947355,0.02483126630031931
209,2024-06-30 01:00:12.242448489,31209,0.058858704646337724,0.47012113012470486,0.02767176079319168
214,2024-06-30 01:01:38.659731946,31214,0.29029349853200315,0.47331881567884443,0.028844310670723627
219,2024-06-30 01:03:05.077015403,31219,0.15142934117067053,0.4764766687626812,0.0010832112329224202
224,2024-06-30 01:04:31.494298859,31224,0.21505726123966948,0.47959384803747407,0.01083873958432937
229,2024-06-30 01:05:57.911582316,31229,0.17607112981560463,0.48266954066067896,0.04064728068615112
234,2024-06-30 01:07:24.328865773,31234,0.10635409822009294,0.48570296253048256,0.04748244650394412
239,2024-06-30 01:08:50.746149229,31239,0.0714192497599636,0.4886933584997258,0.059016070573628523
244,2024-06-30 01:10:17.163432686,31244,0.1662829075346414,0.4916400025596248,0.05652059576839935
249,2024-06-30 01:11:43.580716143,31249,0.14890958783829822,0.49454219799352556,0.005417883714867736
254,2024-06-30 01:13:09.997999599,31254,0.3741539717144547,0.497399277501036,0.022617215731715993
259,2024-06-30 01:14:36.415283056,31259,0.12597843525001054,0.5002106032929917,0.01676464899860988
264,2024-06-30 01:16:02.832566513,31264,0.05685002533843074,0.5029755671577991,0.04281447482823018
269,2024-06-30 01:17:29.249849969,31269,0.13284613980259408,0.5056935905000743,0.016803030688227565
274,2024-06-30 01:18:55.667133426,31274,0.12931055242903583,0.5083641243523516,0.0028662284276090447
279,2024-06-30 01:20:22.084416883,31279,0.07537527068942437,0.5109866493609168,0.01724637841599506
284,2024-06-30 01:21:48.501700340,31284,0.08756593328123377,0.5135606757471142,0.011464678764587705
289,2024-06-30 01:23:14.918983796,31289,0.09892026783861652,0.5160857432452978,0.01197901914928474
294,2024-06-30 01:24:41.336267253,31294,0.026954812585521747,0.5185614210188475,0.01132045863474578
299,2024-06-30 01:26:07.753550710,31299,0.29404259082572337,0.5209873075554342,0.0066291141996251786
304,2024-06-30 01:27:34.170834166,31304,0.043238124462592904,0.5233630305424678,0.015607552757260555
309,2024-06-30 01:29:00.588117623,31309,0.14575568340110925,0.5256882467232707,0.009112664659145642
314,2024-06-30 01:30:27.005401080,31314,0.06807495854961501,0.5279626417348567,0.010626534818464786
319,2024-06-30 01:31:53.422684536,31319,0.1532860300887104,0.5301859299283734,0.014580519191562268
324,2024-06-30 01:33:19.839967993,31324,0.36586865126323903,0.5323578541730927,0.007826420470722073
329,2024-06-30 01:34:46.257251450,31329,0.1813881328496223,0.5344781856448185,0.019594564646928613
334,2024-06-30 01:36:12.674534906,31334,0.07453672564224484,0.536546723599887,0.03487618480054426
339,2024-06-30 01:37:39.091818363,31339,0.0241537794939134,0.5385632951360382,0.030219683491525637
344,2024-06-30 01:39:05.509101820,31344,0.19879364215093825,0.5405277549414851,0.0007172070191053487
349,2024-06-30 01:40:31.926385277,31349,0.2922823459065355,0.542439985033722,0.029989869607376603
354,2024-06-30 01:41:58.343668733,31354,0.15253255708318048,0.5442998944889987,0.03599203629553283
359,2024-06-30 01:43:24.760952190,31359,0.15097607311515024,0.5461074191633069,0.03377569526939378
364,2024-06-30 01:44:51.178235647,31364,0.06538833971348082,0.5478625214056729,0.03572339682874065
369,2024-06-30 01:46:17.595519103,31369,0.24856834671339126,0.5495651897645568,0.03130273909926318
374,2024-06-30 01:47:44.012802560,31374,0.014600669408984973,0.5512154386880487,0.019448170850792458
379,2024-06-30 01:49:10.430086017,31379,0.14069365157890268,0.5528133082182388,0.007831777391723437
384,2024-06-30 01:50:36.847369473,31384,0.11078262080607001,0.5543588636803797,0.012514155756608386
389,2024-06-30 01:52:03.264652930,31389,0.14823012117516995,0.555852195367118,0.03660381957197499
394,2024-06-30 01:53:29.681936387,31394,0.18887609433836727,0.5572934182179521,0.02187472561706088
399,2024-06-30 01:54:56.099219843,31399,0.11030369018093533,0.5586826714940228,0.01459717248179185
404,2024-06-30 01:56:22.516503300,31404,0.06478065294396756,0.5600201184479183,0.005774608211439989
409,2024-06-30 01:57:48.933786757,31409,0.06033814833703158,0.5613059459885676,0.026679925006725586
414,2024-06-30 01:59:15.351070214,31414,0.1553207310498432,0.562540364340808,0.01466080896205516
419,2024-06-30 02:00:41.768353670,31419,0.3661876036646129,0.5637236066995055,0.019477070161612643
424,2024-06-30 02:02:08.185637127,31424,0.30489159902155544,0.5648559288778059,0.014089671060715112
429,2024-06-30 02:03:34.602920584,31429,0.045544735973422235,0.5659376089489467,0.005199932092915129
434,2024-06-30 02:05:01.020204040,31434,0.3060621272935377,0.5669689468809044,0.0025922658833122175
439,2024-06-30 02:06:27.437487497,31439,0.30393270272035305,0.5679502641633302,0.02453143267904635
444,2024-06-30 02:07:53.854770954,31444,0.06452336958335164,0.5688819034265551,0.07069941792543222
449,2024-06-30 02:09:20.272054410,31449,0.21326043031401318,0.5697642280526601,0.08068083573556013
454,2024-06-30 02:10:46.689337867,31454,0.15822704780859398,0.570597621778916,0.025537000801248506
459,2024-06-30 02:12:13.106621324,31459,0.1468553065210103,0.5713824882944644,0.03399315664560857
464,2024-06-30 02:13:39.523904780,31464,0.2120170293262281,0.5721192508307401,0.05258994117724298
469,2024-06-30 02:15:05.941188237,31469,0.05692888530699704,0.5728083517463731,0.04112494332151827
474,2024-06-30 02:16:32.358471694,31474,0.1760977848828188,0.573450252107255,0.025597972073211232
479,2024-06-30 02:17:58.775755151,31479,0.02170362409044742,0.5740454312623307,0.03747821963751267
484,2024-06-30 02:19:25.193038607,31484,0.015225577784250143,0.5745943864158438,0.0586729101281076
489,2024-06-30 02:20:51.610322064,31489,0.20346605447628194,0.5750976321966231,0.04080762781179848
494,2024-06-30 02:22:18.027605521,31494,0.3775610709794374,0.5755557002249901,0.007070868807738446
499,2024-06-30 02:23:44.444888977,31499,0.2567404311077268,0.575969138677978,0.023614568883757053
504,2024-06-30 02:25:10.862172434,31504,0.04091958906534597,0.576338511852974,0.06652767496844973
509,2024-06-30 02:26:37.279455891,31509,0.08399415607849817,0.5766643997303824,0.06185482309916925
514,2024-06-30 02:28:03.696739347,31514,0.20977500918760764,0.5769473975355505,0.026979398612822628
519,2024-06-30 02:29:30.114022804,31519,0.23814602632628784,0.5771881152999673,0.031057484559036126
524,2024-06-30 02:30:56.531306261,31524,0.008912844828419269,0.5773871774217569,0.05509681539725008
529,2024-06-30 02:32:22.948589717,31529,0.15245524816587755,0.5775452222254865,0.03261124462063673
534,2024-06-30 02:33:49.365873174,31534,0.35602620871943863,0.5776629015209713,0.005354052070583685
539,2024-06-30 02:35:15.783156631,31539,0.21994936554724429,0.5777408801601421,0.03767049446450004
544,2024-06-30 02:36:42.200440088,31544,0.22286774266529924,0.5777798355918186,0.063864184462904
549,2024-06-30 02:38:08.617723544,31549,0.010034836423544982,0.5777804574146237,0.025983838919401446
554,2024-06-30 02:39:35.035007001,31554,0.38062522734670173,0.5777434469281859,0.005154962735628011
559,2024-06-30 02:41:01.452290458,31559,0.08465114779988951,0.577669516683092,0.01287437532598659
564,2024-06-30 02:42:27.869573914,31564,0.2626519486945627,0.5775593900298563,0.012327419749614607
569,2024-06-30 02:43:54.286857371,31569,0.13128172646854439,0.5774138006676249,0.01769218323434272
574,2024-06-30 02:45:20.704140828,31574,0.09582886661050977,0.5772334921933652,0.017728695732448584
579,2024-06-30 02:46:47.121424284,31579,0.10273962137975806,0.5770192176524989,0.009493332069059874
584,2024-06-30 02:48:13.538707741,31584,0.10661710023886349,0.5767717390918591,0.020885148762971845
589,2024-06-30 02:49:39.955991198,31589,0.14556227786486356,0.5764918271157399,0.025233566401615413
594,2024-06-30 02:51:06.373274654,31594,0.13870306510928865,0.5761802604458819,0.023178072493545393
599,2024-06-30 02:52:32.790558111,31599,0.07495928329599037,0.5758378254864576,0.015036542547412619
604,2024-06-30 02:53:59.207841568,31604,0.21193282020016327,0.5754653158944623,0.0006770220418502822
609,2024-06-30 02:55:25.625125025,31609,0.08989707222699818,0.5750635321559122,0.010383246104408293
614,2024-06-30 02:56:52.042408481,31614,0.026023574768530497,0.5746332811682985,0.02069500467613678
619,2024-06-30 02:58:18.459691938,31619,0.17724295315622648,0.5741753758294712,0.00689978916463221
624,2024-06-30 02:59:44.876975395,31624,0.2609415869671774,0.5736906346330988,0.03444060882049957
629,2024-06-30 03:01:11.294258851,31629,0.019944421839814683,0.5731798812706611,0.0459791232961323
634,2024-06-30 03:02:37.711542308,31634,0.05286209101014618,0.5726439442399972,2.7683860920333168e-05
639,2024-06-30 03:04:04.128825765,31639,0.173242120375771,0.5720836564604683,0.03336455621205832
644,2024-06-30 03:05:30.546109221,31644,0.0182727763767144,0.5714998548948661,0.005667457148881318
649,2024-06-30 03:06:56.963392678,31649,0.18498386675401723,0.5708933801780007,0.05237055770408604
654,2024-06-30 03:08:23.380676135,31654,0.08388496365272975,0.5702650762519945,0.037277908710256456
659,2024-06-30 03:09:49.797959591,31659,0.19926278617840035,0.5696157900078904,0.019837506592354337
664,2024-06-30 03:11:16.215243048,31664,0.0585057328987867,0.5689463709329329,0.05226778927908904
669,2024-06-30 03:12:42.632526505,31669,0.2394447204423041,0.5682576707629557,0.06294214483919384
674,2024-06-30 03:14:09.049809961,31674,0.13819753428878415,0.5675505431393373,0.028638481998634648
679,2024-06-30 03:15:35.467093418,31679,0.010527348487140806,0.566825843269802,0.017724463895358773
684,2024-06-30 03:17:01.884376875,31684,0.11889258522155856,0.5660844275925354,0.023609808968687484
