,Time,Signal,Signal type,Processing stage
0,0.0,0.038755585715791296,EMG,Bandpass filter
1,0.05,1.540640817791266,EMG,Bandpass filter
2,0.1,-0.9250688996851892,EMG,Bandpass filter
3,0.15,0.4111638896733177,EMG,Bandpass filter
4,0.2,-0.6846392914442384,EMG,Bandpass filter
5,0.25,3.992060218832054,EMG,Bandpass filter
6,0.3,9.914678313633392,EMG,Bandpass filter
7,0.35,-1.8221279362101264,EMG,Bandpass filter
8,0.4,-2.0676806146614077,EMG,Bandpass filter
9,0.45,0.9692950656132452,EMG,Bandpass filter
10,0.5,-0.6826043135241054,EMG,Bandpass filter
11,0.55,0.4690760493133519,EMG,Bandpass filter
12,0.6,-1.0682995869170668,EMG,Bandpass filter
13,0.65,-0.15738010256366675,EMG,Bandpass filter
14,0.7,0.6000849326298362,EMG,Bandpass filter
15,0.75,0.26284221799717555,EMG,Bandpass filter
16,0.8,-0.8352734956534291,EMG,Bandpass filter
17,0.85,-0.1383533609175137,EMG,Bandpass filter
18,0.9,-0.47481440024566945,EMG,Bandpass filter
19,0.95,-0.29926961782693634,EMG,Bandpass filter
20,1.0,-0.3436872962730273,EMG,Bandpass filter
21,1.05,-0.2341739872458496,EMG,Bandpass filter
22,1.1,-1.397160635685272,EMG,Bandpass filter
23,1.15,-1.01713306603736,EMG,Bandpass filter
24,1.2,0.4546622948960304,EMG,Bandpass filter
25,1.25,-0.7504396784133177,EMG,Bandpass filter
26,1.3,-0.6883992282886121,EMG,Bandpass filter
27,1.35,-0.528358846622892,EMG,Bandpass filter
28,1.4,1.2496221775646938,EMG,Bandpass filter
29,1.45,-0.4085190507877887,EMG,Bandpass filter
30,1.5,-0.7000468242628433,EMG,Bandpass filter
31,1.55,0.5998620242735822,EMG,Bandpass filter
32,1.6,-0.5530786222922339,EMG,Bandpass filter
33,1.65,0.5291591283182746,EMG,Bandpass filter
34,1.7,2.642152402146258,EMG,Bandpass filter
35,1.75,1.4338536594891553,EMG,Bandpass filter
